Genre,Rank,RatingTomatometer,Title,No. of Reviews
Action & Adventure,1,96%,Black Panther (2018),525
Action & Adventure,2,94%,Avengers: Endgame (2019),547
Action & Adventure,3,97%,Mission: Impossible - Fallout (2018),437
Action & Adventure,4,97%,Mad Max: Fury Road (2015),434
Action & Adventure,5,97%,Spider-Man: Into the Spider-Verse (2018),393
Action & Adventure,6,93%,Wonder Woman (2017),472
Action & Adventure,7,94%,Logan (2017),424
Action & Adventure,8,97%,Coco (2017),354
Action & Adventure,9,92%,Dunkirk (2017),463
Action & Adventure,10,91%,Star Wars: The Last Jedi (2017),483
Action & Adventure,11,93%,Thor: Ragnarok (2017),437
Action & Adventure,12,100%,Seven Samurai (Shichinin no Samurai) (1956),88
Action & Adventure,13,93%,Star Wars: Episode VII - The Force Awakens (2015),446
Action & Adventure,14,97%,Metropolis (1927),135
Action & Adventure,15,95%,Soul (2020),344
Action & Adventure,16,100%,The Adventures of Robin Hood (1938),48
Action & Adventure,17,90%,Spider-Man: Far From Home (2019),453
Action & Adventure,18,93%,Incredibles 2 (2018),387
Action & Adventure,19,98%,Zootopia (2016),298
Action & Adventure,20,98%,King Kong (1933),66
Action & Adventure,21,94%,War for the Planet of the Apes (2017),361
Action & Adventure,22,92%,Baby Driver (2017),396
Action & Adventure,23,92%,Spider-Man: Homecoming (2017),395
Action & Adventure,24,96%,The Bridge on the River Kwai (1957),93
Action & Adventure,25,98%,Jaws (1975),95
Action & Adventure,26,98%,Up (2009),298
Action & Adventure,27,90%,Shazam! (2019),413
Action & Adventure,28,94%,The Dark Knight (2008),345
Action & Adventure,29,100%,The Treasure of the Sierra Madre (1948),52
Action & Adventure,30,94%,Lawrence of Arabia (1962),124
Action & Adventure,31,90%,Captain America: Civil War (2016),427
Action & Adventure,32,88%,Blade Runner 2049 (2017),443
Action & Adventure,33,92%,Skyfall (2012),384
Action & Adventure,34,96%,The 39 Steps (1935),53
Action & Adventure,35,94%,The Jungle Book (2016),327
Action & Adventure,36,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332
Action & Adventure,37,94%,Mission: Impossible Rogue Nation (2015),326
Action & Adventure,38,97%,The Hurt Locker (2009),289
Action & Adventure,39,98%,Apocalypse Now (1979),96
Action & Adventure,40,85%,Avengers: Infinity War (2018),485
Action & Adventure,41,94%,Star Trek (2009),355
Action & Adventure,42,96%,The LEGO Movie (2014),253
Action & Adventure,43,87%,Ant-Man and the Wasp (2018),439
Action & Adventure,44,95%,Moana (2016),283
Action & Adventure,45,90%,Isle of Dogs (2018),367
Action & Adventure,46,92%,Guardians of the Galaxy (2014),334
Action & Adventure,47,97%,Kubo and the Two Strings (2016),226
Action & Adventure,48,99%,Wolfwalkers (2020),162
Action & Adventure,49,99%,Goldfinger (1964),69
Action & Adventure,50,92%,Star Wars: Episode IV - A New Hope (1977),132
Action & Adventure,51,100%,Stagecoach (1939),45
Action & Adventure,52,91%,Marvel's The Avengers (2012),362
Action & Adventure,53,95%,WALL-E (2008),260
Action & Adventure,54,96%,Paths of Glory (1957),68
Action & Adventure,55,96%,The French Connection (1971),85
Action & Adventure,56,94%,Iron Man (2008),281
Action & Adventure,57,100%,The Terminator (1984),65
Action & Adventure,58,97%,Hunt for the Wilderpeople (2016),206
Action & Adventure,59,89%,Doctor Strange (2016),385
Action & Adventure,60,94%,Raya and the Last Dragon (2021),283
Action & Adventure,61,98%,The Princess Bride (1987),80
Action & Adventure,62,100%,The Taking of Pelham One Two Three (1974),43
Action & Adventure,63,89%,John Wick: Chapter 3 - Parabellum (2019),353
Action & Adventure,64,95%,The Peanut Butter Falcon (2019),220
Action & Adventure,65,97%,Aliens (1986),78
Action & Adventure,66,94%,Star Wars: Episode V - The Empire Strikes Back (1980),105
Action & Adventure,67,90%,X-Men: Days of Future Past (2014),331
Action & Adventure,68,95%,True Grit (2010),275
Action & Adventure,69,90%,The Suicide Squad (2021),361
Action & Adventure,70,94%,All Is Lost (2013),240
Action & Adventure,71,93%,Looper (2012),270
Action & Adventure,72,94%,Casino Royale (2006),264
Action & Adventure,73,90%,The Lego Batman Movie (2017),313
Action & Adventure,74,85%,Guardians of the Galaxy Vol. 2 (2017),423
Action & Adventure,75,97%,Badlands (1974),59
Action & Adventure,76,97%,Chicken Run (2000),173
Action & Adventure,77,100%,Stalker (1979),41
Action & Adventure,78,93%,No Country for Old Men (2007),288
Action & Adventure,79,90%,Dawn Of The Planet Of The Apes (2014),315
Action & Adventure,80,79%,Captain Marvel (2019),543
Action & Adventure,81,92%,Sicario (2015),280
Action & Adventure,82,88%,Onward (2020),337
Action & Adventure,83,96%,The African Queen (1951),46
Action & Adventure,84,97%,From Russia With Love (1964),61
Action & Adventure,85,96%,Ran (1985),89
Action & Adventure,86,92%,Jurassic Park (1993),130
Action & Adventure,87,98%,A Fistful of Dollars (Per un Pugno di Dollari) (1964),51
Action & Adventure,88,100%,Henry V (1989),40
Action & Adventure,89,90%,Captain America: The Winter Soldier (2014),308
